r,lnz_0,lnz_1,lnz_2,lnz_3,lnz_4,lnz_5,lnz_6,lnz_7,lnz_8,lnz_9,lnz_10,lnz_11,lnz_12,lnz_13,lnz_14,lnz_15,lnz_16,lnz_17,lnz_18,lnz_19,lnz_20,lnz_21,lnz_22,lnz_23,lnz_24,lnz_25,lnz_26,lnz_27,lnz_28,lnz_29
23164.521446637933,286.8205175703435,,303.79617131204077,,303.1504506381012,294.20277124175925,,,304.2674026430234,306.19598297120183,303.80795281806013,,305.1912704805651,,,294.50593556377476,,289.72037835778815,,302.36703353451844,,,297.6207959488097,300.64313113156334,,299.4213842696862,299.58057332498294,,265.81881872115423,
25245.65633655478,,,,284.63605745894245,300.7746887482839,301.1121213287041,292.6041435918289,,,305.0134605189545,306.79494735234834,265.1496460303375,,293.8487224561979,,,289.16976402485096,,,,304.32049920057,,,297.90365704689003,,296.7791879791826,301.54725880967504,,269.88446182408074,289.6680438629818
27513.763465030774,,298.4155514049322,288.77972875326003,286.0280630762859,,291.6300519750756,,,,,301.86638937112093,,,,296.9869825985436,288.40616490291325,280.7033439125896,301.49141311616165,302.2490797845836,299.22409088493555,,286.40771995753664,296.8807572615981,303.5348235434175,,297.2545484197275,303.7523049325244,,,301.26234586375796
29985.640694694226,293.22750466385037,,299.4908638981249,273.2812829059428,291.3469709078593,289.36471914923476,299.47165560179656,301.7897834682716,305.164969618906,308.6509845332373,,,305.0963241368251,,,,279.57709801058286,,,,301.7045646825025,300.63079590107697,,300.80516761186215,287.2354078705779,300.841851397715,,288.8095582287004,,291.6485075249508
32679.59503301264,,,,285.4743554459635,,,302.4678786187728,304.73603575808795,302.43991017586177,,,261.68331463430434,,,,292.3171154244502,,293.07890531001397,,,306.3733900305304,291.12411851767035,,,,,303.8390067693958,,,
35615.57821609829,298.4943593586879,,,289.4323889276676,,294.62011034549175,305.8740765613874,307.2482389569544,303.58224250400974,300.12118282200794,,,299.70742694879675,279.2799579186229,,,291.1932848746736,,,,,291.3387931187915,,,286.7181281199788,,,,,299.49053667388
38815.33447356435,297.93986090708614,,296.66997099885515,,,,304.23803913500683,306.0176898327803,,,304.12897199659415,269.19065423520874,,283.6443960830182,308.2123012574384,,282.3900374222059,302.5626757232284,304.6895827311529,,304.58807546005494,288.1034400354198,300.1098711618014,,294.0605381498798,,303.69903703202993,306.1824133086195,264.1365023786765,296.80626986487823
42302.56156879326,287.4025191010787,296.23173502225274,296.7951474892778,281.09724442284625,,303.79506176387326,293.77099054169406,305.03286808009193,300.3680491503823,,303.4284577559674,261.4812320698493,302.2532933513491,284.04901688899747,303.1614094738154,,,,294.49036365880033,,,295.22198762889144,,298.2421900664691,272.60716426792135,,303.75051097576073,298.9673393009474,,297.4540986384892
46103.08630730232,,296.5882905316248,,,301.99604901064214,,,,300.727658527474,,301.86656010842023,254.72319349212773,304.28062226660126,286.7032877430093,290.8479310472981,285.84444503681306,,287.2544486988716,,298.6290336187035,307.4248750627707,,,,,,,297.7737072528939,,291.20251486489144
50245.05581303973,,295.5028480390075,297.4217632892158,286.7058956807057,,300.56147884742984,305.1169703709007,,291.3141338786842,304.0546537960306,,275.6893280800389,,,,297.1891181052804,,,,,,,,,,301.6590389556609,297.6490261019965,295.09890660853415,,
